Asset Class/ Investment,Ticker,Net Expense Ratio,Morningstar Category,Previous Allocation*,Change,Current
,,,,Allocation*,,(as of 08/25/2023)
U.S. Equity,,,,,,27.50%
JPMorgan Active Value ETF,JAVA,0.44%,Large Value,12.50%,,12.50%
JPMorgan Equity Premium Income ETF,JEPI,0.35%,Derivative Income,15.50%,-5.00%,10.50%
JPMorgan BetaBuilders US Equity ETF,BBUS,0.02%,Large Blend,4.50%,,4.50%
Developed Markets Equity,,,,,,23.00%
Vanguard Intl Hi Div Yld Idx ETF,VYMI,0.22%,Foreign Large Value,13.00%,,13.00%
JPMorgan BetaBuilders Intl Eq ETF,BBIN,0.07%,Foreign Large Blend,10.00%,,10.00%
Emerging Markets Equity,,,,,,3.00%
JPMorgan ActiveBuilders EM Eq ETF,JEMA,0.33%,Diversified Emerging Mkts,3.00%,,3.00%
U.S. Investment Grade,,,,,,24.50%
JPMorgan Core Plus Bond ETF,JCPB,0.40%,Intermediate Core-Plus Bond,18.00%,-3.00%,15.00%
JPMorgan BetaBuilders US Aggt Bond ETF,BBAG,0.03%,Intermediate Core Bond,9.50%,,9.50%
Extended Credit,,,,,,15.00%
JPMorgan Income ETF,JPIE,0.41%,Multisector Bond,12.00%,,12.00%
JPMorgan BetaBuilders $ HY Corp Bnd ETF,BBHY,0.15%,High Yield Bond,0.00%,3.00%,3.00%
Added,,,,,,
Cash,,,,,,2.00%
JPMorgan US Government MMkt Instl,IJGXX,0.21%,Money Market-Taxable,2.00%,,2.00%
<missing>,,,,,,5.00%
JPMorgan Nasdaq Equity Premium Inc ETF,JEPQ,0.35%,Derivative Income,0.00%,5.00%,5.00%
Added,,,,,,
TOTAL NET EXPENSE RATIO,,0.28%,,,,
