Asset Class/ Investment,Ticker,Net Expense Ratio,Morningstar Category,Previous Allocation*,Change,Current
,,,,Allocation*,,(as of 08/25/2023)
U.S. Equity,,,,,,32.25%
JPMorgan Equity Income I,HLIEX,0.70%,Large Value,13.75%,,13.75%
JPMorgan Equity Premium Income I,JEPIX,0.60%,Derivative Income,13.00%,,13.00%
JPMorgan Equity Index I,HLEIX,0.20%,Large Blend,5.50%,,5.50%
Developed Markets Equity,,,,,,17.75%
JPMorgan International Rsrch Enh Eq ETF,JIRE,0.24%,Foreign Large Blend,17.75%,,17.75%
Emerging Markets Equity,,,,,,5.00%
JPMorgan Emerging Mkts Rsrch Enh Eq I,EMREX,0.45%,Diversified Emerging Mkts,5.00%,,5.00%
U.S. Investment Grade,,,,,,21.00%
JPMorgan Core Plus Bond I,HLIPX,0.46%,Intermediate Core-Plus Bond,18.00%,-3.00%,15.00%
JPMorgan Core Bond I,WOBDX,0.50%,Intermediate Core Bond,6.00%,,6.00%
Extended Credit,,,,,,17.00%
JPMorgan Income I,JMSIX,0.40%,Multisector Bond,14.00%,,14.00%
JPMorgan High Yield I,OHYFX,0.65%,High Yield Bond,0,3.00%,3.00%
Added,,,,,,
Allocation,,,,,,5.00%
JPMorgan Income Builder I,JNBSX,0.60%,Moderately Conservative Allocation,5.00%,,5.00%
Cash,,,,,,2.00%
JPMorgan Prime Money Market Inst,JINXX,0.21%,Prime Money Market,2.00%,,2.00%
TOTAL NET EXPENSE RATIO,,0.46%,,,,
