Asset Class/ Investment,Ticker,Net Expense Ratio,Morningstar Category,Previous Allocation*,Change,Current
,,,,Allocation*,,(as of 07/06/2023)
U.S. Equity,,,,,,13.30%
JPMorgan BetaBuilders US Equity ETF,BBUS,0.02%,Large Blend,11.90%,-4.00%,7.90%
JPMorgan Active Value ETF,JAVA,0.44%,Large Value,0,1.70%,1.70%
Added,,,,,,
JPMorgan Active Growth ETF,JGRO,0.44%,Large Growth,0,1.70%,1.70%
Added,,,,,,
JPMorgan BetaBuilders US Mid Cap Eq ETF,BBMC,0.07%,Mid-Cap Blend,1.40%,-0.10%,1.30%
JPMorgan BetaBuilders US Sml Cp Eq ETF,BBSC,0.09%,Small Blend,0.70%,,0.70%
Developed Markets Equity,,,,,,4.70%
JPMorgan BetaBuilders Intl Eq ETF,BBIN,0.07%,Foreign Large Blend,5.00%,-0.30%,4.70%
Emerging Markets Equity,,,,,,1.00%
JPMorgan ActiveBuilders EM Eq ETF,JEMA,0.33%,Diversified Emerging Mkts,1.00%,,1.00%
U.S. Investment Grade,,,,,,79.00%
JPMorgan BetaBuilders US Aggt Bond ETF,BBAG,0.03%,Intermediate Core Bond,51.50%,0.60%,52.10%
JPMorgan Core Plus Bond ETF,JCPB,0.40%,Intermediate Core-Plus Bond,26.50%,0.40%,26.90%
Cash,,,,,,2.00%
JPMorgan US Government MMkt Instl,IJGXX,0.21%,Money Market-Taxable,2.00%,,2.00%
TOTAL NET EXPENSE RATIO,,0.15%,,,,
