Asset Class/ Investment,Ticker,Net Expense Ratio,Morningstar Category,Previous Allocation*,Change,Current
,,,,Allocation*,,(as of 07/06/2023)
U.S. Equity,,,,,,27.30%
JPMorgan US Equity I,JUESX,0.69%,Large Blend,11.90%,-0.30%,11.60%
JPMorgan BetaBuilders US Equity ETF,BBUS,0.02%,Large Blend,11.90%,-0.30%,11.60%
JPMorgan BetaBuilders US Mid Cap Eq ETF,BBMC,0.07%,Mid-Cap Blend,2.80%,-0.10%,2.70%
JPMorgan BetaBuilders US Sml Cp Eq ETF,BBSC,0.09%,Small Blend,1.40%,,1.40%
Developed Markets Equity,,,,,,9.70%
JPMorgan BetaBuilders Intl Eq ETF,BBIN,0.07%,Foreign Large Blend,10.00%,-0.30%,9.70%
Emerging Markets Equity,,,,,,2.00%
JPMorgan Emerging Markets Equity I,JEMSX,0.99%,Diversified Emerging Mkts,2.00%,,2.00%
U.S. Investment Grade,,,,,,59.00%
JPMorgan Core Plus Bond ETF,JCPB,0.40%,Intermediate Core-Plus Bond,19.70%,0.30%,20.00%
JPMorgan Core Bond I,WOBDX,0.50%,Intermediate Core Bond,19.10%,0.40%,19.50%
JPMorgan BetaBuilders US Aggt Bond ETF,BBAG,0.03%,Intermediate Core Bond,19.20%,0.30%,19.50%
Cash,,,,,,2.00%
JPMorgan US Government MMkt Instl,IJGXX,0.21%,Money Market-Taxable,2.00%,,2.00%
TOTAL NET EXPENSE RATIO,,0.30%,,,,
