Asset Class/ Investment,Ticker,Net Expense Ratio,Morningstar Category,Previous Allocation*,Change,Current
,,,,Allocation*,,(as of 08/23/2023)
U.S. Equity,,,,,,13.75%
JPMorgan BetaBuilders US Equity ETF,BBUS,0.02%,Large Blend,6.25%,,6.25%
JPMorgan US Quality Factor ETF,JQUA,0.12%,Large Blend,1.25%,1.00%,2.25%
JPMorgan Active Growth ETF,JGRO,0.44%,Large Growth,2.25%,,2.25%
JPMorgan Active Value ETF,JAVA,0.44%,Large Value,2.00%,,2.00%
JPMorgan Equity Premium Income ETF,JEPI,0.35%,Derivative Income,1.00%,,1.00%
Developed Markets Equity,,,,,,3.75%
JPMorgan BetaBuilders Intl Eq ETF,BBIN,0.07%,Foreign Large Blend,4.25%,-0.50%,3.75%
Emerging Markets Equity,,,,,,2.00%
JPMorgan ActiveBuilders EM Eq ETF,JEMA,0.33%,Diversified Emerging Mkts,2.50%,-0.50%,2.00%
U.S. Investment Grade,,,,,,69.00%
JPMorgan Core Plus Bond ETF,JCPB,0.40%,Intermediate Core-Plus Bond,34.25%,,34.25%
iShares Core US Aggregate Bond ETF,AGG,0.03%,Intermediate Core Bond,31.00%,-3.00%,28.00%
iShares 10-20 Year Treasury Bond ETF,TLH,0.15%,Long Government,6.75%,,6.75%
Extended Credit,,,,,,9.50%
JPMorgan Income ETF,JPIE,0.41%,Multisector Bond,4.00%,2.00%,6.00%
JPMorgan BetaBuilders $ HY Corp Bnd ETF,BBHY,0.15%,High Yield Bond,2.50%,1.00%,3.50%
Cash,,,,,,2.00%
JPMorgan US Government MMkt Instl,IJGXX,0.21%,Money Market-Taxable,2.00%,,2.00%
TOTAL NET EXPENSE RATIO,,0.22%,,,,
