Asset Class/ Investment,Ticker,Net Expense Ratio,Morningstar Category,Previous Allocation*,Change,Current
,,,,Allocation*,,(as of 08/24/2023)
U.S. Equity,,,,,,26.25%
JPMorgan US Equity I,JUESX,0.69%,Large Blend,6.00%,1.75%,7.75%
JPMorgan BetaBuilders US Equity ETF,BBUS,0.02%,Large Blend,3.75%,1.00%,4.75%
JPMorgan Large Cap Value I,HLQVX,0.69%,Large Value,3.50%,0.75%,4.25%
JPMorgan Large Cap Growth I,SEEGX,0.69%,Large Growth,5.50%,-2.00%,3.50%
JPMorgan Growth Advantage I,JGASX,0.79%,Large Growth,2.50%,,2.50%
JPMorgan Value Advantage I,JVASX,0.79%,Large Value,1.50%,,1.50%
JPMorgan Equity Premium Income I,JEPIX,0.60%,Derivative Income,1.00%,,1.00%
JPMorgan BetaBuilders US Sml Cp Eq ETF,BBSC,0.09%,Small Blend,1.00%,,1.00%
Developed Markets Equity,,,,,,9.25%
JPMorgan International Equity I,VSIEX,0.70%,Foreign Large Blend,4.50%,-0.75%,3.75%
JPMorgan BetaBuilders Intl Eq ETF,BBIN,0.07%,Foreign Large Blend,3.00%,,3.00%
JPMorgan International Rsrch Enh Eq ETF,JIRE,0.24%,Foreign Large Blend,2.50%,,2.50%
Emerging Markets Equity,,,,,,3.50%
JPMorgan Emerging Markets Equity I,JEMSX,0.99%,Diversified Emerging Mkts,2.50%,-0.75%,1.75%
JPMorgan Emerging Mkts Rsrch Enh Eq I,EMREX,0.45%,Diversified Emerging Mkts,1.75%,,1.75%
U.S. Investment Grade,,,,,,50.00%
JPMorgan National Municipal Income I,JITIX,0.40%,Muni National Interm,38.00%,-3.50%,34.50%
JPMorgan Tax Free Bond I,PRBIX,0.45%,Muni National Long,15.50%,,15.50%
Extended Credit,,,,,,9.00%
JPMorgan Income I,JMSIX,0.40%,Multisector Bond,3.00%,2.50%,5.50%
JPMorgan BetaBuilders $ HY Corp Bnd ETF,BBHY,0.15%,High Yield Bond,2.50%,1.00%,3.50%
Cash,,,,,,2.00%
JPMorgan Prime Money Market Inst,JINXX,0.21%,Prime Money Market,2.00%,,2.00%
TOTAL NET EXPENSE RATIO,,0.45%,,,,
