Model Suite,Model Name,Asset Class,Fund Name,Ticker,Previous Allocation,Change,Current Allocation,As of date
Income Mutual Fund,JPMorgan Multi-Asset Income 35-65 Model,U.S. Equity,JPMorgan Equity Income I,HLIEX,4.50%,0.00%,4.50%,08/25/2023
Income Mutual Fund,JPMorgan Multi-Asset Income 35-65 Model,U.S. Equity,JPMorgan Equity Index I,HLEIX,3.00%,0.00%,3.00%,08/25/2023
Income Mutual Fund,JPMorgan Multi-Asset Income 35-65 Model,Extended Credit,JPMorgan High Yield I,OHYFX,0.00%,4.00%,4.00%,08/25/2023
Income Mutual Fund,JPMorgan Multi-Asset Income 35-65 Model,U.S. Investment Grade,JPMorgan Core Plus Bond I,HLIPX,26.00%,-4.00%,22.00%,08/25/2023
Income Mutual Fund,JPMorgan Multi-Asset Income 35-65 Model,U.S. Investment Grade,JPMorgan Core Bond I,WOBDX,19.00%,0.00%,19.00%,08/25/2023
Income Mutual Fund,JPMorgan Multi-Asset Income 35-65 Model,Cash,JPMorgan Prime Money Market Inst,JINXX,2.00%,0.00%,2.00%,08/25/2023
Income Mutual Fund,JPMorgan Multi-Asset Income 35-65 Model,Allocation,JPMorgan Income Builder I,JNBSX,5.00%,0.00%,5.00%,08/25/2023
Income Mutual Fund,JPMorgan Multi-Asset Income 35-65 Model,Extended Credit,JPMorgan Income I,JMSIX,15.00%,0.00%,15.00%,08/25/2023
Income Mutual Fund,JPMorgan Multi-Asset Income 35-65 Model,U.S. Equity,JPMorgan Equity Premium Income I,JEPIX,11.75%,0.00%,11.75%,08/25/2023
Income Mutual Fund,JPMorgan Multi-Asset Income 35-65 Model,Emerging Markets Equity,JPMorgan Emerging Mkts Rsrch Enh Eq I,EMREX,3.25%,0.00%,3.25%,08/25/2023
Income Mutual Fund,JPMorgan Multi-Asset Income 35-65 Model,Developed Markets Equity,JPMorgan International Rsrch Enh Eq ETF,JIRE,10.50%,0.00%,10.50%,08/25/2023
Income Mutual Fund,JPMorgan Multi-Asset Income 60-40 Model,U.S. Equity,JPMorgan Equity Income I,HLIEX,13.75%,0.00%,13.75%,08/25/2023
Income Mutual Fund,JPMorgan Multi-Asset Income 60-40 Model,U.S. Equity,JPMorgan Equity Index I,HLEIX,5.50%,0.00%,5.50%,08/25/2023
Income Mutual Fund,JPMorgan Multi-Asset Income 60-40 Model,Extended Credit,JPMorgan High Yield I,OHYFX,0.00%,3.00%,3.00%,08/25/2023
Income Mutual Fund,JPMorgan Multi-Asset Income 60-40 Model,U.S. Investment Grade,JPMorgan Core Plus Bond I,HLIPX,18.00%,-3.00%,15.00%,08/25/2023
Income Mutual Fund,JPMorgan Multi-Asset Income 60-40 Model,U.S. Investment Grade,JPMorgan Core Bond I,WOBDX,6.00%,0.00%,6.00%,08/25/2023
Income Mutual Fund,JPMorgan Multi-Asset Income 60-40 Model,Cash,JPMorgan Prime Money Market Inst,JINXX,2.00%,0.00%,2.00%,08/25/2023
Income Mutual Fund,JPMorgan Multi-Asset Income 60-40 Model,Allocation,JPMorgan Income Builder I,JNBSX,5.00%,0.00%,5.00%,08/25/2023
Income Mutual Fund,JPMorgan Multi-Asset Income 60-40 Model,Extended Credit,JPMorgan Income I,JMSIX,14.00%,0.00%,14.00%,08/25/2023
Income Mutual Fund,JPMorgan Multi-Asset Income 60-40 Model,U.S. Equity,JPMorgan Equity Premium Income I,JEPIX,13.00%,0.00%,13.00%,08/25/2023
