Model Name,Asset Class,Fund Name,Ticker,Previous Allocation,Change,Current Allocation,As of date
SS Strategic 75-25 ETF Model,Cash,SS US Government MMkt Instl,IJGXX,2.00%,0.00%,2.00%,07/06/2023
SS Strategic 75-25 ETF Model,U.S. Investment Grade,SS Core Plus Bond ETF,JCPB,7.80%,0.40%,8.20%,07/06/2023
SS Strategic 75-25 ETF Model,U.S. Investment Grade,SS BetaBuilders US Aggt Bond ETF,BBAG,15.20%,0.60%,15.80%,07/06/2023
SS Strategic 75-25 ETF Model,U.S. Equity,SS BetaBuilders US Equity ETF,BBUS,32.60%,-1.80%,30.80%,07/06/2023
SS Strategic 75-25 ETF Model,Developed Markets Equity,SS BetaBuilders Intl Eq ETF,BBIN,18.70%,-0.20%,18.50%,07/06/2023
SS Strategic 75-25 ETF Model,U.S. Equity,SS BetaBuilders US Mid Cap Eq ETF,BBMC,5.30%,-0.10%,5.20%,07/06/2023
SS Strategic 75-25 ETF Model,U.S. Equity,SS BetaBuilders US Sml Cp Eq ETF,BBSC,2.60%,0.00%,2.60%,07/06/2023
SS Strategic 75-25 ETF Model,Emerging Markets Equity,SS ActiveBuilders EM Eq ETF,JEMA,3.80%,-0.10%,3.70%,07/06/2023
SS Strategic 75-25 ETF Model,U.S. Equity,SS Active Value ETF,JAVA,0.00%,6.60%,6.60%,07/06/2023
SS Strategic 75-25 ETF Model,U.S. Equity,SS Active Growth ETF,JGRO,0.00%,6.60%,6.60%,07/06/2023
SS Strategic 75-25 ETF Model,U.S. Equity,SS US Value Factor ETF,JVAL,4.00%,-4.00%,0.00%,07/06/2023
SS Strategic 75-25 ETF Model,U.S. Equity,SS US Momentum Factor ETF,JMOM,4.00%,-4.00%,0.00%,07/06/2023
SS Strategic 75-25 ETF Model,U.S. Equity,SS US Quality Factor ETF,JQUA,4.00%,-4.00%,0.00%,07/06/2023
