Model Suite,Model Name,Asset Class,Fund Name,Ticker,Previous Allocation,Change,Current Allocation,As of date
Strategic ETF - US Only,JPMorgan Strategic 100-0 US-only ETF Model,Cash,JPMorgan US Government MMkt Instl,IJGXX,2.00%,0.00%,2.00%,07/06/2023
Strategic ETF - US Only,JPMorgan Strategic 100-0 US-only ETF Model,U.S. Equity,JPMorgan BetaBuilders US Equity ETF,BBUS,45.90%,0.00%,45.90%,07/06/2023
Strategic ETF - US Only,JPMorgan Strategic 100-0 US-only ETF Model,U.S. Equity,JPMorgan BetaBuilders US Mid Cap Eq ETF,BBMC,9.80%,0.00%,9.80%,07/06/2023
Strategic ETF - US Only,JPMorgan Strategic 100-0 US-only ETF Model,U.S. Equity,JPMorgan BetaBuilders US Sml Cp Eq ETF,BBSC,4.90%,0.00%,4.90%,07/06/2023
Strategic ETF - US Only,JPMorgan Strategic 100-0 US-only ETF Model,U.S. Equity,JPMorgan Active Value ETF,JAVA,18.70%,0.00%,18.70%,07/06/2023
Strategic ETF - US Only,JPMorgan Strategic 100-0 US-only ETF Model,U.S. Equity,JPMorgan Active Growth ETF,JGRO,18.70%,0.00%,18.70%,07/06/2023
Strategic ETF - US Only,JPMorgan Strategic 20-80 US-only ETF Model,Cash,JPMorgan US Government MMkt Instl,IJGXX,2.00%,0.00%,2.00%,07/06/2023
Strategic ETF - US Only,JPMorgan Strategic 20-80 US-only ETF Model,U.S. Investment Grade,JPMorgan Core Plus Bond ETF,JCPB,26.50%,0.40%,26.90%,07/06/2023
Strategic ETF - US Only,JPMorgan Strategic 20-80 US-only ETF Model,U.S. Investment Grade,JPMorgan BetaBuilders US Aggt Bond ETF,BBAG,51.50%,0.60%,52.10%,07/06/2023
Strategic ETF - US Only,JPMorgan Strategic 20-80 US-only ETF Model,U.S. Equity,JPMorgan BetaBuilders US Equity ETF,BBUS,9.40%,-0.50%,8.90%,07/06/2023
Strategic ETF - US Only,JPMorgan Strategic 20-80 US-only ETF Model,U.S. Equity,JPMorgan BetaBuilders US Mid Cap Eq ETF,BBMC,2.00%,-0.10%,1.90%,07/06/2023
Strategic ETF - US Only,JPMorgan Strategic 20-80 US-only ETF Model,U.S. Equity,JPMorgan BetaBuilders US Sml Cp Eq ETF,BBSC,1.00%,0.00%,1.00%,07/06/2023
Strategic ETF - US Only,JPMorgan Strategic 20-80 US-only ETF Model,U.S. Equity,JPMorgan Active Value ETF,JAVA,3.80%,-0.20%,3.60%,07/06/2023
Strategic ETF - US Only,JPMorgan Strategic 20-80 US-only ETF Model,U.S. Equity,JPMorgan Active Growth ETF,JGRO,3.80%,-0.20%,3.60%,07/06/2023
Strategic ETF - US Only,JPMorgan Strategic 40-60 US-only ETF Model,Cash,JPMorgan US Government MMkt Instl,IJGXX,2.00%,0.00%,2.00%,07/06/2023
Strategic ETF - US Only,JPMorgan Strategic 40-60 US-only ETF Model,U.S. Investment Grade,JPMorgan Core Plus Bond ETF,JCPB,19.70%,0.40%,20.10%,07/06/2023
Strategic ETF - US Only,JPMorgan Strategic 40-60 US-only ETF Model,U.S. Investment Grade,JPMorgan BetaBuilders US Aggt Bond ETF,BBAG,38.30%,0.60%,38.90%,07/06/2023
Strategic ETF - US Only,JPMorgan Strategic 40-60 US-only ETF Model,U.S. Equity,JPMorgan BetaBuilders US Equity ETF,BBUS,18.60%,-0.50%,18.10%,07/06/2023
Strategic ETF - US Only,JPMorgan Strategic 40-60 US-only ETF Model,U.S. Equity,JPMorgan BetaBuilders US Mid Cap Eq ETF,BBMC,4.00%,-0.10%,3.90%,07/06/2023
Strategic ETF - US Only,JPMorgan Strategic 40-60 US-only ETF Model,U.S. Equity,JPMorgan BetaBuilders US Sml Cp Eq ETF,BBSC,2.00%,0.00%,2.00%,07/06/2023
Strategic ETF - US Only,JPMorgan Strategic 40-60 US-only ETF Model,U.S. Equity,JPMorgan Active Value ETF,JAVA,7.70%,-0.20%,7.50%,07/06/2023
Strategic ETF - US Only,JPMorgan Strategic 40-60 US-only ETF Model,U.S. Equity,JPMorgan Active Growth ETF,JGRO,7.70%,-0.20%,7.50%,07/06/2023
Strategic ETF - US Only,JPMorgan Strategic 60-40 US-only ETF Model,Cash,JPMorgan US Government MMkt Instl,IJGXX,2.00%,0.00%,2.00%,07/06/2023
Strategic ETF - US Only,JPMorgan Strategic 60-40 US-only ETF Model,U.S. Investment Grade,JPMorgan Core Plus Bond ETF,JCPB,12.90%,0.40%,13.30%,07/06/2023
Strategic ETF - US Only,JPMorgan Strategic 60-40 US-only ETF Model,U.S. Investment Grade,JPMorgan BetaBuilders US Aggt Bond ETF,BBAG,25.10%,0.60%,25.70%,07/06/2023
Strategic ETF - US Only,JPMorgan Strategic 60-40 US-only ETF Model,U.S. Equity,JPMorgan BetaBuilders US Equity ETF,BBUS,28.00%,-0.50%,27.50%,07/06/2023
Strategic ETF - US Only,JPMorgan Strategic 60-40 US-only ETF Model,U.S. Equity,JPMorgan BetaBuilders US Mid Cap Eq ETF,BBMC,6.00%,-0.10%,5.90%,07/06/2023
Strategic ETF - US Only,JPMorgan Strategic 60-40 US-only ETF Model,U.S. Equity,JPMorgan BetaBuilders US Sml Cp Eq ETF,BBSC,3.00%,0.00%,3.00%,07/06/2023
Strategic ETF - US Only,JPMorgan Strategic 60-40 US-only ETF Model,U.S. Equity,JPMorgan Active Value ETF,JAVA,11.50%,-0.20%,11.30%,07/06/2023
Strategic ETF - US Only,JPMorgan Strategic 60-40 US-only ETF Model,U.S. Equity,JPMorgan Active Growth ETF,JGRO,11.50%,-0.20%,11.30%,07/06/2023
Strategic ETF - US Only,JPMorgan Strategic 75-25 US-only ETF Model,Cash,JPMorgan US Government MMkt Instl,IJGXX,2.00%,0.00%,2.00%,07/06/2023
Strategic ETF - US Only,JPMorgan Strategic 75-25 US-only ETF Model,U.S. Investment Grade,JPMorgan Core Plus Bond ETF,JCPB,7.80%,0.40%,8.20%,07/06/2023
Strategic ETF - US Only,JPMorgan Strategic 75-25 US-only ETF Model,U.S. Investment Grade,JPMorgan BetaBuilders US Aggt Bond ETF,BBAG,15.20%,0.60%,15.80%,07/06/2023
Strategic ETF - US Only,JPMorgan Strategic 75-25 US-only ETF Model,U.S. Equity,JPMorgan BetaBuilders US Equity ETF,BBUS,35.10%,-0.60%,34.50%,07/06/2023
Strategic ETF - US Only,JPMorgan Strategic 75-25 US-only ETF Model,U.S. Equity,JPMorgan BetaBuilders US Mid Cap Eq ETF,BBMC,7.50%,-0.10%,7.40%,07/06/2023
