Model Suite,Model Name,Asset Class,Fund Name,Ticker,Previous Allocation,Change,Current Allocation,As of date
Strategic MF/ETF,JPMorgan Strategic 100-0 ETF/MF Model,U.S. Equity,JPMorgan US Equity I,JUESX,29.10%,0.00%,29.10%,07/06/2023
Strategic MF/ETF,JPMorgan Strategic 100-0 ETF/MF Model,Emerging Markets Equity,JPMorgan Emerging Markets Equity I,JEMSX,4.90%,0.00%,4.90%,07/06/2023
Strategic MF/ETF,JPMorgan Strategic 100-0 ETF/MF Model,Cash,JPMorgan US Government MMkt Instl,IJGXX,2.00%,0.00%,2.00%,07/06/2023
Strategic MF/ETF,JPMorgan Strategic 100-0 ETF/MF Model,U.S. Equity,JPMorgan BetaBuilders US Equity ETF,BBUS,29.20%,0.00%,29.20%,07/06/2023
Strategic MF/ETF,JPMorgan Strategic 100-0 ETF/MF Model,Developed Markets Equity,JPMorgan BetaBuilders Intl Eq ETF,BBIN,24.50%,0.00%,24.50%,07/06/2023
Strategic MF/ETF,JPMorgan Strategic 100-0 ETF/MF Model,U.S. Equity,JPMorgan BetaBuilders US Mid Cap Eq ETF,BBMC,6.90%,0.00%,6.90%,07/06/2023
Strategic MF/ETF,JPMorgan Strategic 100-0 ETF/MF Model,U.S. Equity,JPMorgan BetaBuilders US Sml Cp Eq ETF,BBSC,3.40%,0.00%,3.40%,07/06/2023
Strategic MF/ETF,JPMorgan Strategic 20-80 ETF/MF Model,U.S. Investment Grade,JPMorgan Core Bond I,WOBDX,25.70%,0.40%,26.10%,07/06/2023
Strategic MF/ETF,JPMorgan Strategic 20-80 ETF/MF Model,U.S. Equity,JPMorgan US Equity I,JUESX,5.90%,-0.30%,5.60%,07/06/2023
Strategic MF/ETF,JPMorgan Strategic 20-80 ETF/MF Model,Emerging Markets Equity,JPMorgan Emerging Markets Equity I,JEMSX,1.00%,0.00%,1.00%,07/06/2023
Strategic MF/ETF,JPMorgan Strategic 20-80 ETF/MF Model,Cash,JPMorgan US Government MMkt Instl,IJGXX,2.00%,0.00%,2.00%,07/06/2023
Strategic MF/ETF,JPMorgan Strategic 20-80 ETF/MF Model,U.S. Investment Grade,JPMorgan Core Plus Bond ETF,JCPB,26.50%,0.30%,26.80%,07/06/2023
Strategic MF/ETF,JPMorgan Strategic 20-80 ETF/MF Model,U.S. Investment Grade,JPMorgan BetaBuilders US Aggt Bond ETF,BBAG,25.80%,0.30%,26.10%,07/06/2023
Strategic MF/ETF,JPMorgan Strategic 20-80 ETF/MF Model,U.S. Equity,JPMorgan BetaBuilders US Equity ETF,BBUS,6.00%,-0.30%,5.70%,07/06/2023
Strategic MF/ETF,JPMorgan Strategic 20-80 ETF/MF Model,Developed Markets Equity,JPMorgan BetaBuilders Intl Eq ETF,BBIN,5.00%,-0.30%,4.70%,07/06/2023
Strategic MF/ETF,JPMorgan Strategic 20-80 ETF/MF Model,U.S. Equity,JPMorgan BetaBuilders US Mid Cap Eq ETF,BBMC,1.40%,-0.10%,1.30%,07/06/2023
Strategic MF/ETF,JPMorgan Strategic 20-80 ETF/MF Model,U.S. Equity,JPMorgan BetaBuilders US Sml Cp Eq ETF,BBSC,0.70%,0.00%,0.70%,07/06/2023
Strategic MF/ETF,JPMorgan Strategic 40-60 ETF/MF Model,U.S. Investment Grade,JPMorgan Core Bond I,WOBDX,19.10%,0.40%,19.50%,07/06/2023
Strategic MF/ETF,JPMorgan Strategic 40-60 ETF/MF Model,U.S. Equity,JPMorgan US Equity I,JUESX,11.90%,-0.30%,11.60%,07/06/2023
