Model Suite,Model Name,Asset Class,Fund Name,Ticker,Previous Allocation,Change,Current Allocation,As of date
Tactical MF/ETF,JPMorgan Tactical 100-0 Model,U.S. Equity,JPMorgan Large Cap Value I,HLQVX,8.50%,1.00%,9.50%,08/24/2023
Tactical MF/ETF,JPMorgan Tactical 100-0 Model,U.S. Equity,JPMorgan Large Cap Growth I,SEEGX,12.00%,-2.50%,9.50%,08/24/2023
Tactical MF/ETF,JPMorgan Tactical 100-0 Model,Developed Markets Equity,JPMorgan International Equity I,VSIEX,10.50%,-1.00%,9.50%,08/24/2023
Tactical MF/ETF,JPMorgan Tactical 100-0 Model,U.S. Equity,JPMorgan US Equity I,JUESX,16.00%,2.50%,18.50%,08/24/2023
Tactical MF/ETF,JPMorgan Tactical 100-0 Model,Cash,JPMorgan Prime Money Market Inst,JINXX,2.00%,0.00%,2.00%,08/24/2023
Tactical MF/ETF,JPMorgan Tactical 100-0 Model,U.S. Equity,JPMorgan Value Advantage I,JVASX,7.25%,0.00%,7.25%,08/24/2023
Tactical MF/ETF,JPMorgan Tactical 100-0 Model,Emerging Markets Equity,JPMorgan Emerging Markets Equity I,JEMSX,7.50%,-1.00%,6.50%,08/24/2023
Tactical MF/ETF,JPMorgan Tactical 100-0 Model,U.S. Equity,JPMorgan Growth Advantage I,JGASX,7.25%,0.00%,7.25%,08/24/2023
Tactical MF/ETF,JPMorgan Tactical 100-0 Model,U.S. Equity,JPMorgan Equity Premium Income I,JEPIX,1.50%,0.00%,1.50%,08/24/2023
Tactical MF/ETF,JPMorgan Tactical 100-0 Model,Emerging Markets Equity,JPMorgan Emerging Mkts Rsrch Enh Eq I,EMREX,3.50%,0.00%,3.50%,08/24/2023
Tactical MF/ETF,JPMorgan Tactical 100-0 Model,U.S. Equity,JPMorgan BetaBuilders US Equity ETF,BBUS,8.00%,1.00%,9.00%,08/24/2023
Tactical MF/ETF,JPMorgan Tactical 100-0 Model,Developed Markets Equity,JPMorgan BetaBuilders Intl Eq ETF,BBIN,3.75%,0.00%,3.75%,08/24/2023
Tactical MF/ETF,JPMorgan Tactical 100-0 Model,U.S. Equity,JPMorgan BetaBuilders US Sml Cp Eq ETF,BBSC,1.50%,0.00%,1.50%,08/24/2023
Tactical MF/ETF,JPMorgan Tactical 100-0 Model,Developed Markets Equity,JPMorgan International Rsrch Enh Eq ETF,JIRE,10.75%,0.00%,10.75%,08/24/2023
Tactical MF/ETF,JPMorgan Tactical 20-80 Model,U.S. Investment Grade,JPMorgan Core Plus Bond I,HLIPX,26.00%,0.00%,26.00%,08/24/2023
Tactical MF/ETF,JPMorgan Tactical 20-80 Model,U.S. Equity,JPMorgan Large Cap Growth I,SEEGX,2.75%,-0.75%,2.00%,08/24/2023
Tactical MF/ETF,JPMorgan Tactical 20-80 Model,Developed Markets Equity,JPMorgan International Equity I,VSIEX,2.75%,-0.75%,2.00%,08/24/2023
Tactical MF/ETF,JPMorgan Tactical 20-80 Model,U.S. Equity,JPMorgan US Equity I,JUESX,5.75%,1.25%,7.00%,08/24/2023
Tactical MF/ETF,JPMorgan Tactical 20-80 Model,Cash,JPMorgan Prime Money Market Inst,JINXX,2.00%,0.00%,2.00%,08/24/2023
Tactical MF/ETF,JPMorgan Tactical 20-80 Model,U.S. Equity,JPMorgan Value Advantage I,JVASX,1.00%,0.00%,1.00%,08/24/2023
Tactical MF/ETF,JPMorgan Tactical 20-80 Model,U.S. Investment Grade,iShares 10-20 Year Treasury Bond ETF,TLH,6.75%,0.00%,6.75%,08/24/2023
Tactical MF/ETF,JPMorgan Tactical 20-80 Model,U.S. Equity,JPMorgan Growth Advantage I,JGASX,1.00%,0.00%,1.00%,08/24/2023
Tactical MF/ETF,JPMorgan Tactical 20-80 Model,Extended Credit,JPMorgan Income I,JMSIX,3.50%,2.00%,5.50%,08/24/2023
Tactical MF/ETF,JPMorgan Tactical 20-80 Model,Extended Credit,JPMorgan BetaBuilders $ HY Corp Bnd ETF,BBHY,3.00%,1.00%,4.00%,08/24/2023
Tactical MF/ETF,JPMorgan Tactical 20-80 Model,U.S. Equity,JPMorgan Equity Premium Income I,JEPIX,1.00%,0.00%,1.00%,08/24/2023
Tactical MF/ETF,JPMorgan Tactical 20-80 Model,Emerging Markets Equity,JPMorgan Emerging Mkts Rsrch Enh Eq I,EMREX,2.00%,-0.75%,1.25%,08/24/2023
Tactical MF/ETF,JPMorgan Tactical 20-80 Model,U.S. Investment Grade,JPMorgan BetaBuilders US Aggt Bond ETF,BBAG,39.75%,-3.00%,36.75%,08/24/2023
Tactical MF/ETF,JPMorgan Tactical 20-80 Model,U.S. Equity,JPMorgan BetaBuilders US Equity ETF,BBUS,0.00%,1.00%,1.00%,08/24/2023
Tactical MF/ETF,JPMorgan Tactical 20-80 Model,Developed Markets Equity,JPMorgan BetaBuilders Intl Eq ETF,BBIN,2.75%,0.00%,2.75%,08/24/2023
Tactical MF/ETF,JPMorgan Tactical 20-80 Tax Aware Model,U.S. Investment Grade,JPMorgan Tax Free Bond I,PRBIX,22.00%,0.00%,22.00%,08/24/2023
Tactical MF/ETF,JPMorgan Tactical 20-80 Tax Aware Model,U.S. Equity,JPMorgan Large Cap Growth I,SEEGX,2.75%,-0.75%,2.00%,08/24/2023
Tactical MF/ETF,JPMorgan Tactical 20-80 Tax Aware Model,Developed Markets Equity,JPMorgan International Equity I,VSIEX,2.75%,-0.75%,2.00%,08/24/2023
Tactical MF/ETF,JPMorgan Tactical 20-80 Tax Aware Model,U.S. Equity,JPMorgan US Equity I,JUESX,5.75%,1.25%,7.00%,08/24/2023
Tactical MF/ETF,JPMorgan Tactical 20-80 Tax Aware Model,Cash,JPMorgan Prime Money Market Inst,JINXX,2.00%,0.00%,2.00%,08/24/2023
Tactical MF/ETF,JPMorgan Tactical 20-80 Tax Aware Model,U.S. Equity,JPMorgan Value Advantage I,JVASX,1.00%,0.00%,1.00%,08/24/2023
Tactical MF/ETF,JPMorgan Tactical 20-80 Tax Aware Model,U.S. Investment Grade,JPMorgan National Municipal Income I,JITIX,51.00%,-3.50%,47.50%,08/24/2023
Tactical MF/ETF,JPMorgan Tactical 20-80 Tax Aware Model,U.S. Equity,JPMorgan Growth Advantage I,JGASX,1.00%,0.00%,1.00%,08/24/2023
Tactical MF/ETF,JPMorgan Tactical 20-80 Tax Aware Model,Extended Credit,JPMorgan Income I,JMSIX,3.00%,2.50%,5.50%,08/24/2023
Tactical MF/ETF,JPMorgan Tactical 20-80 Tax Aware Model,Extended Credit,JPMorgan BetaBuilders $ HY Corp Bnd ETF,BBHY,3.00%,1.00%,4.00%,08/24/2023
Tactical MF/ETF,JPMorgan Tactical 20-80 Tax Aware Model,U.S. Equity,JPMorgan Equity Premium Income I,JEPIX,1.00%,0.00%,1.00%,08/24/2023
Tactical MF/ETF,JPMorgan Tactical 20-80 Tax Aware Model,Emerging Markets Equity,JPMorgan Emerging Mkts Rsrch Enh Eq I,EMREX,2.00%,-0.75%,1.25%,08/24/2023
Tactical MF/ETF,JPMorgan Tactical 20-80 Tax Aware Model,U.S. Equity,JPMorgan BetaBuilders US Equity ETF,BBUS,0.00%,1.00%,1.00%,08/24/2023
Tactical MF/ETF,JPMorgan Tactical 20-80 Tax Aware Model,Developed Markets Equity,JPMorgan BetaBuilders Intl Eq ETF,BBIN,2.75%,0.00%,2.75%,08/24/2023
Tactical MF/ETF,JPMorgan Tactical 40-60 Model,U.S. Investment Grade,JPMorgan Core Plus Bond I,HLIPX,17.50%,0.00%,17.50%,08/24/2023
Tactical MF/ETF,JPMorgan Tactical 40-60 Model,U.S. Equity,JPMorgan Large Cap Value I,HLQVX,3.50%,0.75%,4.25%,08/24/2023
Tactical MF/ETF,JPMorgan Tactical 40-60 Model,U.S. Equity,JPMorgan Large Cap Growth I,SEEGX,5.50%,-2.00%,3.50%,08/24/2023
Tactical MF/ETF,JPMorgan Tactical 40-60 Model,Developed Markets Equity,JPMorgan International Equity I,VSIEX,4.50%,-0.75%,3.75%,08/24/2023
Tactical MF/ETF,JPMorgan Tactical 40-60 Model,U.S. Equity,JPMorgan US Equity I,JUESX,6.00%,1.75%,7.75%,08/24/2023
Tactical MF/ETF,JPMorgan Tactical 40-60 Model,Cash,JPMorgan Prime Money Market Inst,JINXX,2.00%,0.00%,2.00%,08/24/2023
Tactical MF/ETF,JPMorgan Tactical 40-60 Model,U.S. Equity,JPMorgan Value Advantage I,JVASX,1.50%,0.00%,1.50%,08/24/2023
Tactical MF/ETF,JPMorgan Tactical 40-60 Model,Emerging Markets Equity,JPMorgan Emerging Markets Equity I,JEMSX,2.50%,-0.75%,1.75%,08/24/2023
Tactical MF/ETF,JPMorgan Tactical 40-60 Model,U.S. Investment Grade,iShares 10-20 Year Treasury Bond ETF,TLH,5.50%,0.00%,5.50%,08/24/2023
